日期,成交金額,加權指數,漲跌點數
2024-01-02,"6,411,778,806","17,853.76",-77.05
2024-01-03,"6,563,816,690","17,559.31",-294.45
2024-01-04,"6,326,304,020","17,549.65",-9.66
2024-01-05,"6,072,525,649","17,519.14",-30.51
2024-01-08,"6,306,940,236","17,572.66",53.52
2024-01-09,"6,232,655,765","17,535.49",-37.17
2024-01-10,"5,764,346,997","17,465.63",-69.86
2024-01-11,"6,087,970,482","17,545.32",79.69
2024-01-12,"5,783,781,997","17,512.83",-32.49
2024-01-15,"5,999,846,290","17,546.82",33.99
2024-01-16,"7,003,194,663","17,346.87",-199.95
2024-01-17,"8,135,054,516","17,161.79",-185.08
2024-01-18,"6,362,222,591","17,227.79",66.00
2024-01-19,"7,366,926,213","17,681.52",453.73
2024-01-22,"7,440,321,165","17,815.10",133.58
2024-01-23,"6,799,686,562","17,874.59",59.49
2024-01-24,"6,085,817,090","17,875.83",1.24
2024-01-25,"6,194,925,527","18,002.62",126.79
2024-01-26,"5,484,262,792","17,995.03",-7.59
2024-01-29,"5,297,437,572","18,119.63",124.60
2024-01-30,"5,885,319,302","18,034.63",-85.00
2024-01-31,"5,498,408,501","17,889.56",-145.07
2024-02-01,"5,865,757,348","17,968.11",78.55
2024-02-02,"5,660,501,359","18,059.93",91.82
2024-02-05,"5,578,682,526","18,096.07",36.14
2024-02-15,"8,401,984,466","18,644.57",548.50
2024-02-16,"7,844,208,954","18,607.25",-37.32
2024-02-19,"7,707,547,519","18,635.80",28.55
2024-02-20,"7,064,550,775","18,753.16",117.36
2024-02-21,"7,279,039,404","18,676.31",-76.85
2024-02-22,"7,544,144,391","18,852.78",176.47
2024-02-23,"7,868,781,866","18,889.19",36.41
2024-02-26,"7,062,243,384","18,948.05",58.86
2024-02-27,"7,916,887,244","18,854.41",-93.64
2024-02-29,"7,568,554,508","18,966.77",112.36
2024-03-01,"7,573,187,396","18,935.93",-30.84
2024-03-04,"8,836,524,686","19,305.31",369.38
2024-03-05,"8,130,039,078","19,386.92",81.61
2024-03-06,"8,275,991,420","19,499.45",112.53
2024-03-07,"9,410,905,277","19,693.52",194.07
2024-03-08,"10,441,231,662","19,785.32",91.80
2024-03-11,"7,833,500,763","19,726.08",-59.24
2024-03-12,"8,460,730,583","19,914.55",188.47
2024-03-13,"9,706,968,613","19,928.51",13.96
2024-03-14,"8,827,167,427","19,937.92",9.41
2024-03-15,"9,670,515,104","19,682.50",-255.42
2024-03-18,"7,757,012,558","19,879.85",197.35
2024-03-19,"8,621,957,387","19,857.20",-22.65
2024-03-20,"10,021,992,787","19,784.45",-72.75
2024-03-21,"9,714,309,641","20,199.09",414.64
2024-03-22,"9,739,588,799","20,228.43",29.34
2024-03-25,"7,774,647,172","20,192.25",-36.18
2024-03-26,"9,364,343,444","20,126.49",-65.76
2024-03-27,"7,726,443,586","20,200.12",73.63
2024-03-28,"8,671,376,628","20,146.55",-53.57
2024-03-29,"8,501,295,897","20,294.45",147.90
2024-04-01,"8,434,260,812","20,222.33",-72.12
2024-04-02,"8,095,952,108","20,466.57",244.24
2024-04-03,"7,343,173,063","20,337.60",-128.97
2024-04-08,"7,833,324,469","20,417.70",80.10
2024-04-09,"9,050,814,136","20,796.20",378.50
2024-04-10,"8,716,653,906","20,763.53",-32.67
2024-04-11,"8,914,560,391","20,753.22",-10.31
2024-04-12,"8,851,979,644","20,736.57",-16.65
2024-04-15,"9,618,574,254","20,449.77",-286.80
2024-04-16,"11,746,011,018","19,901.96",-547.81
2024-04-17,"7,877,446,674","20,213.33",311.37
2024-04-18,"8,879,764,431","20,301.20",87.87
2024-04-19,"14,220,809,628","19,527.12",-774.08
2024-04-22,"10,228,829,402","19,411.22",-115.90
2024-04-23,"7,253,946,313","19,599.28",188.06
2024-04-24,"9,111,612,970","20,131.74",532.46
2024-04-25,"7,577,774,252","19,857.42",-274.32
2024-04-26,"8,712,330,378","20,120.51",263.09
2024-04-29,"10,073,768,829","20,495.52",375.01
2024-04-30,"7,574,611,198","20,396.60",-98.92
2024-05-02,"8,406,070,998","20,222.44",-174.16
2024-05-03,"8,493,343,556","20,330.32",107.88
2024-05-06,"8,531,380,014","20,523.31",192.99
2024-05-07,"8,310,364,105","20,653.53",130.22
2024-05-08,"8,266,990,221","20,700.51",46.98
2024-05-09,"8,462,569,991","20,560.77",-139.74
2024-05-10,"9,484,962,143","20,708.84",148.07
2024-05-13,"9,004,389,415","20,857.71",148.87
2024-05-14,"9,083,268,995","20,985.85",128.14
2024-05-15,"10,020,867,467","21,147.21",161.36
2024-05-16,"10,676,029,114","21,304.26",157.05
2024-05-17,"9,381,134,038","21,258.47",-45.79
2024-05-20,"9,698,206,286","21,271.63",13.16
2024-05-21,"8,349,241,695","21,236.75",-34.88
2024-05-22,"9,892,255,736","21,551.83",315.08
2024-05-23,"10,342,069,047","21,607.43",55.60
2024-05-24,"8,654,957,789","21,565.34",-42.09
2024-05-27,"10,249,255,642","21,803.77",238.43
2024-05-28,"9,828,428,372","21,858.41",54.64
2024-05-29,"10,075,066,392","21,662.50",-195.91
2024-05-30,"9,367,769,353","21,364.48",-298.02
2024-05-31,"11,881,955,402","21,174.22",-190.26
2024-06-03,"9,227,882,212","21,536.76",362.54
2024-06-04,"9,533,375,775","21,356.62",-180.14
2024-06-05,"8,309,415,709","21,484.88",128.26
2024-06-06,"9,720,110,923","21,902.70",417.82
2024-06-07,"9,413,696,800","21,858.38",-44.32
2024-06-11,"10,336,042,752","21,792.12",-66.26
2024-06-12,"8,993,663,732","22,048.96",256.84
2024-06-13,"10,063,123,188","22,312.04",263.08
2024-06-14,"9,573,063,432","22,504.72",192.68
2024-06-17,"9,540,532,148","22,496.53",-8.19
2024-06-18,"9,626,522,803","22,757.43",260.90
2024-06-19,"11,548,968,111","23,209.54",452.11
2024-06-20,"10,071,394,416","23,406.10",196.56
2024-06-21,"12,435,288,243","23,253.39",-152.71
2024-06-24,"10,868,484,158","22,813.70",-439.69
2024-06-25,"9,415,655,198","22,875.97",62.27
2024-06-26,"9,402,611,851","22,986.69",110.72
2024-06-27,"9,517,113,615","22,905.98",-80.71
2024-06-28,"9,156,285,272","23,032.25",126.27
2024-07-01,"9,519,820,690","23,058.57",26.32
2024-07-02,"10,730,848,421","22,879.37",-179.20
2024-07-03,"11,022,883,210","23,172.43",293.06
2024-07-04,"11,530,961,755","23,522.53",350.10
2024-07-05,"10,664,306,726","23,556.59",34.06
2024-07-08,"11,657,426,579","23,878.15",321.56
2024-07-09,"12,440,604,449","23,900.08",21.93
2024-07-10,"10,720,034,257","24,007.08",107.00
2024-07-11,"11,951,313,760","24,390.03",382.95
2024-07-12,"12,595,197,756","23,916.93",-473.10
