日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2024/01/02,臺指選擇權,外資,128109,417558,126042,410676,2067,6882,75840,738424,83275,539753,-7435,198671
2024/01/02,臺指選擇權,投信,0,0,0,0,0,0,142,618,100,85,42,533
2024/01/02,臺指選擇權,自營商,233557,495436,236383,513446,-2826,-18010,99462,548256,135934,630028,-36472,-81772
2024/01/03,臺指選擇權,外資,219956,615948,225045,620416,-5089,-4468,71753,596947,80808,551704,-9055,45243
2024/01/03,臺指選擇權,投信,0,0,0,0,0,0,142,1207,100,148,42,1059
2024/01/03,臺指選擇權,自營商,395747,778781,425533,816303,-29786,-37523,87273,532375,113378,593385,-26105,-61010
2024/01/04,臺指選擇權,外資,81118,348000,80856,351231,262,-3231,76949,604658,85742,566660,-8793,37998
2024/01/04,臺指選擇權,投信,0,0,0,0,0,0,142,1164,100,145,42,1019
2024/01/04,臺指選擇權,自營商,165428,466725,152441,413565,12987,53160,108587,572244,121705,580188,-13118,-7944
2024/01/05,臺指選擇權,外資,102594,422908,94805,402124,7789,20784,86674,625801,87678,581023,-1004,44778
2024/01/05,臺指選擇權,投信,0,0,0,0,0,0,142,1278,100,150,42,1128
2024/01/05,臺指選擇權,自營商,168040,468113,181659,510169,-13619,-42057,114308,583650,141045,626159,-26737,-42509
2024/01/08,臺指選擇權,外資,171889,625725,168263,617338,3626,8386,93956,618780,91334,534676,2622,84104
2024/01/08,臺指選擇權,投信,0,0,0,0,0,0,142,873,100,83,42,790
2024/01/08,臺指選擇權,自營商,270460,678289,261443,624229,9017,54061,116491,568728,134211,558944,-17720,9784
2024/01/09,臺指選擇權,外資,200489,674716,198407,683105,2082,-8389,100918,603563,96214,565698,4704,37865
2024/01/09,臺指選擇權,投信,0,0,0,0,0,0,142,973,100,83,42,890
2024/01/09,臺指選擇權,自營商,333825,728816,343028,735793,-9203,-6977,117747,589413,144670,576114,-26923,13299
2024/01/10,臺指選擇權,外資,253995,725039,253751,713513,244,11526,95524,575922,91169,584174,4355,-8252
2024/01/10,臺指選擇權,投信,0,0,0,0,0,0,142,1271,100,118,42,1153
2024/01/10,臺指選擇權,自營商,343898,747986,355986,733588,-12088,14398,90019,579860,110840,538721,-20821,41139
2024/01/11,臺指選擇權,外資,87307,477193,94052,494958,-6745,-17765,99409,695556,101799,643964,-2390,51592
2024/01/11,臺指選擇權,投信,0,0,0,0,0,0,142,959,100,100,42,859
2024/01/11,臺指選擇權,自營商,140975,516194,136441,490138,4534,26057,102837,640393,119124,603905,-16287,36488
2024/01/12,臺指選擇權,外資,122038,653363,125547,729389,-3509,-76026,104267,687868,110166,791308,-5899,-103440
2024/01/12,臺指選擇權,投信,0,0,0,0,0,0,142,1228,100,155,42,1073
2024/01/12,臺指選擇權,自營商,112156,537255,114285,520624,-2129,16631,117247,747377,135663,671098,-18416,76279
2024/01/15,臺指選擇權,外資,186258,719220,167561,700175,18697,19045,118890,493171,106092,529105,12798,-35934
2024/01/15,臺指選擇權,投信,0,0,0,0,0,0,142,291,100,8,42,283
2024/01/15,臺指選擇權,自營商,260306,613656,260299,608762,7,4893,120862,597646,139271,441227,-18409,156419
2024/01/16,臺指選擇權,外資,150988,529630,148563,542877,2425,-13247,122930,479186,107707,626856,15223,-147670
2024/01/16,臺指選擇權,投信,0,0,0,0,0,0,142,1214,100,7,42,1207
2024/01/16,臺指選擇權,自營商,277162,614272,278119,581416,-957,32856,132318,694077,151684,486813,-19366,207264
2024/01/17,臺指選擇權,外資,328453,910423,336648,932981,-8195,-22558,34042,300486,54034,496956,-19992,-196470
2024/01/17,臺指選擇權,投信,153,2304,142,2194,11,111,153,2387,0,0,153,2387
2024/01/17,臺指選擇權,自營商,347615,813831,389775,953729,-42160,-139898,76278,576471,80038,481963,-3760,94508
2024/01/18,臺指選擇權,外資,91233,446796,90760,448919,473,-2123,43423,321185,62942,492377,-19519,-171192
2024/01/18,臺指選擇權,投信,0,0,0,0,0,0,153,2081,0,0,153,2081
