日期,成交金額,加權指數,漲跌點數
2023-12-01,"303,354,416,776","17,438.35",4.50
2023-12-04,"329,712,758,004","17,421.48",-16.87
2023-12-05,"320,615,909,509","17,328.01",-93.47
2023-12-06,"300,589,295,151","17,360.72",32.71
2023-12-07,"303,911,947,568","17,278.74",-81.98
2023-12-08,"313,383,854,943","17,383.99",105.25
2023-12-11,"291,528,105,616","17,418.34",34.35
2023-12-12,"320,448,215,336","17,450.63",32.29
2023-12-13,"320,263,226,668","17,468.93",18.30
2023-12-14,"389,879,113,486","17,653.11",184.18
2023-12-15,"448,437,036,582","17,673.87",20.76
2023-12-18,"326,657,892,904","17,652.03",-21.84
2023-12-19,"325,889,863,775","17,576.55",-75.48
2023-12-20,"339,894,621,868","17,635.20",58.65
2023-12-21,"328,758,391,109","17,543.74",-91.46
2023-12-22,"291,856,733,205","17,596.63",52.89
2023-12-25,"242,779,733,409","17,604.84",8.21
2023-12-26,"229,703,131,613","17,751.73",146.89
2023-12-27,"299,924,290,420","17,891.50",139.77
2023-12-28,"289,840,477,247","17,910.37",18.87
2023-12-29,"272,169,082,532","17,930.81",20.44
2024-01-02,"301,290,668,897","17,853.76",-77.05
2024-01-03,"310,243,953,968","17,559.31",-294.45
2024-01-04,"282,564,085,824","17,549.65",-9.66
2024-01-05,"269,883,354,782","17,519.14",-30.51
2024-01-08,"262,720,464,831","17,572.66",53.52
2024-01-09,"299,756,126,103","17,535.49",-37.17
2024-01-10,"258,068,344,349","17,465.63",-69.86
2024-01-11,"307,662,933,016","17,545.32",79.69
2024-01-12,"283,832,519,401","17,512.83",-32.49
2024-01-15,"290,072,856,217","17,546.82",33.99
2024-01-16,"315,174,625,367","17,346.87",-199.95
2024-01-17,"391,777,975,501","17,161.79",-185.08
2024-01-18,"280,724,326,868","17,227.79",66.00
2024-01-19,"438,685,377,608","17,681.52",453.73
2024-01-22,"412,915,752,080","17,815.10",133.58
2024-01-23,"313,984,912,388","17,874.59",59.49
2024-01-24,"271,791,200,561","17,875.83",1.24
2024-01-25,"305,139,066,005","18,002.62",126.79
2024-01-26,"260,448,297,651","17,995.03",-7.59
2024-01-29,"230,462,809,896","18,119.63",124.60
2024-01-30,"296,795,331,175","18,034.63",-85.00
2024-01-31,"278,056,673,466","17,889.56",-145.07
2024-02-01,"312,760,860,228","17,968.11",78.55
2024-02-02,"334,717,306,871","18,059.93",91.82
2024-02-05,"324,859,121,116","18,096.07",36.14
2024-02-15,"515,463,516,591","18,644.57",548.50
2024-02-16,"416,487,094,956","18,607.25",-37.32
2024-02-19,"375,165,893,586","18,635.80",28.55
2024-02-20,"359,813,377,895","18,753.16",117.36
2024-02-21,"348,877,496,932","18,676.31",-76.85
2024-02-22,"405,269,203,212","18,852.78",176.47
2024-02-23,"452,654,013,093","18,889.19",36.41
2024-02-26,"361,091,557,269","18,948.05",58.86
2024-02-27,"430,848,079,757","18,854.41",-93.64
