日期,單位名稱,買進金額,賣出金額,買賣差額
2024-01-02,自營商(自行買賣),"4,473,338,103","4,452,269,735","21,068,368"
2024-01-02,自營商(避險),"8,254,527,326","12,723,715,597","-4,469,188,271"
2024-01-02,投信,"11,454,000,731","11,264,363,096","189,637,635"
2024-01-02,外資及陸資(不含外資自營商),"86,395,611,608","85,348,533,425","1,047,078,183"
2024-01-02,外資自營商,"828,430","149,110","679,320"
2024-01-02,合計,"110,577,477,768","113,788,881,853","-3,211,404,085"
2024-01-03,外資自營商,"445,460","395,910","49,550"
2024-01-03,外資及陸資(不含外資自營商),"83,339,685,336","106,145,671,842","-22,805,986,506"
2024-01-03,合計,"107,392,868,429","136,008,722,338","-28,615,853,909"
2024-01-03,自營商(避險),"9,752,887,716","17,852,211,238","-8,099,323,522"
2024-01-03,投信,"9,422,277,837","6,138,523,730","3,283,754,107"
2024-01-03,自營商(自行買賣),"4,878,017,540","5,872,315,528","-994,297,988"
2024-01-04,自營商(自行買賣),"3,574,926,090","4,866,930,074","-1,292,003,984"
2024-01-04,自營商(避險),"9,542,193,743","13,497,807,982","-3,955,614,239"
2024-01-04,投信,"9,303,664,394","6,041,007,641","3,262,656,753"
2024-01-04,外資及陸資(不含外資自營商),"77,905,068,974","81,369,284,912","-3,464,215,938"
2024-01-04,外資自營商,"1,620,700","217,260","1,403,440"
2024-01-04,合計,"100,325,853,201","105,775,030,609","-5,449,177,408"
2024-01-05,外資自營商,"286,660","180,730","105,930"
2024-01-05,外資及陸資(不含外資自營商),"78,290,096,617","82,519,371,709","-4,229,275,092"
2024-01-05,合計,"97,317,428,501","100,422,358,490","-3,104,929,989"
2024-01-05,投信,"7,853,254,663","2,677,438,323","5,175,816,340"
2024-01-05,自營商(自行買賣),"3,231,934,615","3,432,011,512","-200,076,897"
2024-01-05,自營商(避險),"7,942,142,606","11,793,536,946","-3,851,394,340"
2024-01-08,自營商(自行買賣),"3,576,005,646","3,717,386,966","-141,381,320"
2024-01-08,自營商(避險),"8,488,621,148","13,821,473,721","-5,332,852,573"
2024-01-08,投信,"5,638,483,744","3,450,196,709","2,188,287,035"
2024-01-08,外資及陸資(不含外資自營商),"78,263,512,795","75,867,195,111","2,396,317,684"
2024-01-08,外資自營商,"219,360","43,330","176,030"
2024-01-08,合計,"95,966,623,333","96,856,252,507","-889,629,174"
2024-01-09,自營商(自行買賣),"4,699,591,215","5,585,844,321","-886,253,106"
2024-01-09,自營商(避險),"7,629,034,855","14,456,066,162","-6,827,031,307"
2024-01-09,投信,"8,408,081,160","4,525,979,303","3,882,101,857"
2024-01-09,外資及陸資(不含外資自營商),"91,301,570,349","91,885,583,856","-584,013,507"
2024-01-09,外資自營商,"233,100","312,960","-79,860"
2024-01-09,合計,"112,038,277,579","116,453,473,642","-4,415,196,063"
