日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2024-01-02,臺股期貨,外資,47732,170145520,48449,172680269,-717,-2534749,48357,172147870,65786,234194020,-17429,-62046150
2024-01-02,臺股期貨,投信,297,1057393,458,1630299,-161,-572906,21605,76913800,11576,41210560,10029,35703240
2024-01-02,臺股期貨,自營商,9555,34052898,9119,32493044,436,1559854,8514,30309181,7073,25167149,1441,5142032
2024-01-03,臺股期貨,外資,58026,204489716,63357,223331352,-5331,-18841636,45453,159492638,69488,243829744,-24035,-84337106
2024-01-03,臺股期貨,投信,537,1884547,1755,6158867,-1218,-4274320,20764,72860876,11953,41943077,8811,30917799
2024-01-03,臺股期貨,自營商,13803,48641206,14680,51700696,-877,-3059490,8386,29425911,7791,27326381,595,2099530
2024-01-04,臺股期貨,外資,48994,171909131,45431,159400303,3563,12508828,44327,155582441,64797,227430188,-20470,-71847747
2024-01-04,臺股期貨,投信,385,1351382,433,1519258,-48,-167876,20484,71898840,11721,41140710,8763,30758130
2024-01-04,臺股期貨,自營商,6402,22459145,7938,27850863,-1536,-5391717,6904,24230686,7863,27582648,-959,-3351962
2024-01-05,臺股期貨,投信,497,1741578,759,2659191,-262,-917613,19898,69714633,11397,39930529,8501,29784104
2024-01-05,臺股期貨,自營商,9259,32500623,8174,28691632,1085,3808991,8027,28120058,7841,27457050,186,663008
2024-01-05,臺股期貨,外資,50697,178023797,49911,175252083,786,2771714,44663,156478285,64345,225431834,-19682,-68953549
2024-01-08,臺股期貨,外資,64604,227310456,63713,224175011,891,3135445,47101,165742207,65892,231860043,-18791,-66117836
2024-01-08,臺股期貨,投信,309,1087916,90,316793,219,771123,20016,70436290,11296,39750624,8720,30685666
2024-01-08,臺股期貨,自營商,11601,40838114,11596,40820560,5,17553,7895,27776311,7476,26288419,419,1487892
2024-01-09,臺股期貨,投信,824,2893159,349,1226584,475,1666575,20487,71897064,11292,39628145,9195,32268919
2024-01-09,臺股期貨,自營商,11891,41938756,11778,41515041,113,423714,7906,27738146,7382,25886034,524,1852112
2024-01-09,臺股期貨,外資,58922,207705452,64391,227067920,-5469,-19362468,45273,158873348,69533,244003240,-24260,-85129892
2024-01-10,臺股期貨,自營商,11495,40202155,12121,42388537,-626,-2186382,7788,27190621,7873,27472453,-85,-281832
